Designator,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation,Comment,,Reel,Rotation
R4 ,0603,30.35,22.99,30.35,22.99,30.35,22.99,T,0,330,,8,-90
R5 ,0805,24.38,29.08,24.38,29.08,24.38,29.08,T,-180,330,,8,-90
R7 ,0603,21.34,25.02,21.34,25.02,21.34,25.02,T,-90,330,,8,-90
R10 ,0603,21.34,29.08,21.34,29.08,21.34,29.08,T,-180,330,,8,-90
R14 ,0603,16.76,25.27,16.76,25.27,16.76,25.27,T,-90,330,,8,-90
R23 ,1206,14.73,25.27,14.73,25.27,14.73,25.27,T,-180,330,,8,-90
R24 ,0806,18.8,25.27,18.8,25.27,18.8,25.27,T,-90,330,,8,-90
C1 ,0603,38.61,9.27,38.61,9.27,38.61,9.27,T,-90,0.1uF,,2,-90
C3 ,0603,47.12,19.81,47.12,19.81,47.12,19.81,T,0,0.1uF,,2,-90
C4 ,0603,49.15,19.81,49.15,19.81,49.15,19.81,T,-90,0.1uF,,2,-90
C6 ,0603,21.34,27.05,21.34,27.05,21.34,27.05,T,-90,0.1uF,,2,-90
C8 ,0603,41.78,19.81,41.78,19.81,41.78,19.81,T,0,0.1uF,,2,-90
C14 ,0603,27.56,29.08,27.56,29.08,27.56,29.08,T,90,0.1uF,,2,-90
C17 ,0603,45.85,24.38,45.85,24.38,45.85,24.38,T,-90,0.1uF,,2,-90
R6 ,0603,8.13,22.73,8.13,22.73,8.13,22.73,T,-180,1.62M,,16,-90
R1 ,0805,32.13,11.3,32.13,11.3,32.13,11.3,T,0,10k,,11,-90
R3 ,0603,8.64,16,8.64,16,8.64,16,T,-90,10k,,11,-90
R13 ,0603,12.57,26.29,12.57,26.29,12.57,26.29,T,0,10k,,11,-90
R15 ,1206,8.51,1.4,8.51,1.4,8.51,1.4,T,0,10k,,11,-90
C13 ,0603,48.13,23.88,48.13,23.88,48.13,23.88,T,-180,10uF,,6,-90
C5 ,0603,12.7,12.7,12.7,12.7,12.7,12.7,T,-90,12pF,,1,-90
C25 ,0805,20.32,12.7,20.32,12.7,20.32,12.7,T,-180,12pF,,1,-90
CX2 ,0603,33.02,28.58,33.02,28.58,33.02,28.58,T,-180,12pF,,1,-90
CX3 ,0603,35.05,28.58,35.05,28.58,35.05,28.58,T,-180,12pF,,1,-90
R8 ,0603,8.13,19.56,8.13,19.56,8.13,19.56,T,-180,180k,,15,-90
C2 ,0603,34.16,11.3,34.16,11.3,34.16,11.3,T,-180,1uF,,3,-90
C21 ,0805,21.34,19.94,21.34,19.94,21.34,19.94,T,-180,1uF,,3,-90
D+ ,0603,30.35,25.02,30.35,25.02,30.35,25.02,T,-180,27ohm,,7,-90
D- ,0603,30.35,27.05,30.35,27.05,30.35,27.05,T,-180,27ohm,,7,-90
R2 ,0805,30.35,20.83,30.35,20.83,30.35,20.83,T,-180,330R,,8,-90
IC1 ,0603,15.75,19.69,15.75,19.69,15.75,19.69,T,-90,ATMEGA644M,,27,0
U$5 ,SOT23-3,9.4,27.3,9.4,27.3,9.4,27.3,T,-180,BUTTON4.2X3.2,,25,-90
U$9 ,SOT23-3,9.4,12.19,9.4,12.19,9.4,12.19,T,-180,BUTTON4.2X3.2,,25,-90
U$15 ,SOT323,16.64,28.58,16.64,28.58,16.64,28.58,T,-180,CLVBA-FKA,,13,-90
U$16 ,SOT323,34.54,21.72,34.54,21.72,34.54,21.72,T,-180,CLVBA-FKA,,13,-90
U$1 ,Cust,16.51,12.83,16.51,12.83,16.51,12.83,T,-180,CRYSTAL_5X3.2_2LEAD,,24,-90
U2 ,0603,25.94,25.37,25.94,25.37,25.94,25.37,T,-90,FT231X-Q,,23,0
U$7 ,SOT23-3,44.45,19.81,44.45,19.81,44.45,19.81,T,-90,MAX6070AAUT18,,10,0
U$4 ,SOT323,41.15,1.52,41.15,1.52,41.15,1.52,T,-180,MIC842,,14,-90
U$18 ,0603,34.29,14.48,34.29,14.48,34.29,14.48,T,-180,MIC842,,14,-90
MICRO_USB ,0603,40.89,27.37,40.89,27.37,40.89,27.37,T,-180,MICRO_USB_LONGPADS,,29,-90
Q1 ,0805,41.1,4.32,41.1,4.32,41.1,4.32,T,-90,MOSFET_PCH-IRLML2244,,17,0
Q5 ,0805,37.13,14.61,37.13,14.61,37.13,14.61,T,-90,MOSFET_PCH-IRLML2244,,17,0
U$6 ,SOT23-3,36.45,9.78,36.45,9.78,36.45,9.78,T,90,TPS79733,,22,180
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
