"Qty","Value","Device","Package","Parts","Description","DIGIKEY","DISP","MF","MOUSER","MPN","PROD_ID","VALUE","VALUE_PART",
"1","","CONN_102.54_SCREW","1X10_SCREW","J2","Genaric 10 terminal header","ED10567-ND","","On Shore","","OSTVN10A150","","","",
"2","","MOUNTING_HOLE4_NP_CLOSE","4_40_CLOSE","H1, H2","Genaric Mechanical Mounting Hole","DNP","","N/A","","N/A","","","",
"1","","USB_C","USB_C_CUSB31-CFM2AX-01-X","J4","USB Type-C USB 2.0 Connector","2073-USB4105-GF-ACT-ND","","GCT","","USB4105-GF-A","","","",
"11","0.1uF","C-EU0.1UFC0402","C0402","C1, C4, C5, C9, C10, C11, C12, C16, C17, C18, C19","CAPACITOR, European symbol","490-4759-1-ND","","Murata","","GCM155R71C104KA55D","","","",
"1","100k","R-EU_100R0402","R0402","R19","RESISTOR, European symbol","311-100LRCT-ND","","Yageo","","RC0402FR-07100RL","","","100",
"9","10k","R-EU_10KR0402","R0402","R1, R2, R14, R15, R16, R17, R18, R20, R21","RESISTOR, European symbol","311-10.0KLRCT-ND","","Yageo","","RC0402FR-0710KL","","","10k",
"2","10k","R-EU_10KR0603","R0603","R22, R23","RESISTOR, European symbol","311-10.0KHRCT-ND","","Yageo","","RC0603FR-0710KL","","","10k",
"1","10k","R-EU_P10KR0603","R0603","R24","RESISTOR, European symbol","CRT0603-BY-1002ELFCT-ND","","Bourns","","CRT0603-BY-1002ELF","","","10k",
"2","10uF","C-EU10UFC0805","C0805","C6, C15","CAPACITOR, European symbol","490-6473-1-ND","","Murata","","GRM21BR61C106KE15K","","","",
"2","12pF","C-EU12PFC0402","C0402","C7, C8","CAPACITOR, European symbol","445-5585-1-ND","","TDK","","CGA2B2C0G1H120J050BA","","","",
"1","130k","R-EU_130KR0603","R0603","R10","RESISTOR, European symbol","311-130KHRCT-ND","","Yageo","","RC0603FR-07130KL","","","130k",
"2","18pF","C-EU18PFC0402","C0402","C2, C3","CAPACITOR, European symbol","490-12650-1-ND","","Murata","","GCM1555C1H180JA16D","","","",
"2","1k","R-EU_1KR0402","R0402","R7, R9","RESISTOR, European symbol","311-1.00KLRCT-ND","","Yageo","","RC0603FR-07330RL","","","1k",
"2","1uF","C-EU1UFC0603","C0603","C13, C14","CAPACITOR, European symbol","587-2984-1-ND","","Yaiyo Yuden","","TMK107B7105KA-T","","","",
"2","27","R-EU_27R0402","R0402","R3, R4","RESISTOR, European symbol","YAG3086CT-ND","","Yageo","","RC0402FR-0727RL","","","27",
"1","2N7002","MOSFET-NCH-2N7002PW","SOT323","Q3","N-channel MOSFET","2N7002W-FDICT-ND","","Diodes Incorporated","","2N7002W-7-F","TRANS-11151","2N7002","",
"6","330","R-EU_330R0402","R0402","R5, R6, R8, R11, R12, R13","RESISTOR, European symbol","311-330LRCT-ND","","Yageo","","RC0402FR-07330RL","","","330",
"2","5.1K","R-EU_5.1KR0402","R0402","R31, R32","RESISTOR, European symbol","311-5.10KLRCT-ND","","Yageo","","RC0402FR-075K1L","","","5.1k",
"1","ATMEGA1284M","ATMEGA1284M","MLF44-TH","U1","8-bit Microcontroller with 128K Bytes In-System Programmable Flash","ATMEGA1284P-MURCT-ND","","Atmel","","ATMEGA1284P-MUR","","","",
"1","AVRISP-6","AVRISP-6","AVRISP","ISP1","AVR ISP HEADER","609-3234-ND","","Amphenol","","67997-206HLF","","","",
"1","BAT43WS","DIODESOD-323","SOD323-R","D1","Genaric Diode","BAT43WS-FDICT-ND","","Diodes Incorporated","","BAT43WS-7-F","","","",
"1","BATTERY_COIN12MM","BATTERY_COIN12MM","LINX_BAT-HLD-012-SMT","BT1","Coin Cell Battery Holder","BAT-HLD-012-SMT-ND","","Linx","","BAT-HLD-012-SMT","","","",
"1","BME280","BME280","BME280","U12","BME280 - Combined Digital Humidity and Pressure Sensor","828-1063-1-ND","BME280","Bosch","","BME280","","","",
"2","BUTTON4.2X3.2","BUTTON4.2X3.2","SWITCH_4.2X3.2","S1, S2","Genaric SPST Push button","CKN10504CT-ND","","C&K","","PTS810 SJG 250 SMTR LFS","","","",
"2","CLVBA-FKA","CLVBA-FKA","CLVBA-FKA","D2, D3","Cree RGB LED, Small Package, Common Anode, CLVBA-FKA","CLVBA-FKA-CAEDH8BBB7A363CT-ND","","Cree","","CLVBA-FKA-CAEDH8BBB7A363","","","",
"1","CONN_6SCREW_2.54","CONN_6SCREW_2.54","1X06_SCREW","J3","Genaric 6 terminal header","ED10565-ND","","OnShore","","OSTVN06A150","","","",
"1","CRYSTAL8MHZ5X3.2","CRYSTAL8MHZ5X3.2","CRYSTAL_5X3.2_2-SMD","XTAL1","Crystal Oscilator","XC2103CT-ND","","ECS","","ECS-80-18-30-JGN-TR","","","",
"1","DMG3404","MOSFET-NCH-DMG3404L","SOT23-3","Q1","N-channel MOSFET","DMG3404L-7DICT-ND","","Diodes Incorporated","","DMG3404L-7","","DMG3404","",
"1","DS3231M","DS3231M","SO08","RTC1","DS3231M Real Time Clock","DS3231MZ+-ND","","Maxim","","DS3231MZ+","","","",
"1","FDN360P","MOSFET_PCH-FDN360P","SOT23-3@1","Q2","P-channel MOSFETs","DMP3099L-7DICT-ND","","Diodes Inc","","DMP3099L-7","","FDN360P","",
"1","FT231X-Q","FT231X-Q","QFN20","U2","FT231x - USB to UART Bridge","768-1128-1-ND","","FTDI","","FT231XQ-R","","","",
"1","JUMPER-SMT_2_NC_PASTE_SILK","JUMPER-SMT_2_NC_PASTE_SILK","SMT-JUMPER_2_NC_PASTE_SILK","JP3","Normally closed solder jumper","DNP","","N/A","","N/A","","","",
"1","JUMPER-SMT_2_NO_SILK","JUMPER-SMT_2_NO_SILK","SMT-JUMPER_2_NO_SILK","JP1","Normally open jumper","DNP","","N/A","","N/A","","","",
"1","JUMPER-SMT_3_1-NC_PASTE_SILK","JUMPER-SMT_3_1-NC_PASTE_SILK","SMT-JUMPER_3_1-NC_PASTE_SILK","JP2","Normally closed solder jumper (1 of 2 connections)","DNP","","N/A","","N/A","","","",
"1","MAX6070AAUT18","MAX6070AAUT18","SOT23-6L","U13","MAX6070 Low Noise high precision voltage referance","MAX6071AAUT18+TCT-ND","","Maxim","","MAX6071AAUT18+T","","","",
"1","MCP3421A1","MCP3421A1","SOT23-6L","U14","MCP342* - Sigma Delta ADC","MCP3421A1T-E/CHCT-ND","MCP3421","Microchip","","MCP3421A1T-E/CH","","","",
"1","MIC94090C6","MIC94090C6","SC-70_6","U11","MIC9409x - Hight Side Load Switch","576-3484-1-ND","MIC94090","Microchip","","MIC94090YC6-TR","","","",
"1","SDMMCWR-CRD","SDMMCWR-CRD","SD_WURTH_WR-CRD","J1","SD MMC Card holder","732-3817-1-ND","","Wurth","","693063010911","","","",
"1","SN74AUP3G34DCU","SN74AUP3G34DCU","DCU_(R-PDSO-G8)","U5","SN74AUP3G34 - Logic Buffer","296-25595-1-ND","","TI","","SN74AUP3G34DCUR","","","",
"1","SN74LVC1G3157SC70","SN74LVC1G3157SC70","DCK_R-PDSO-G6","U4","SN74LVC1G3157 - SPDT Analog Switch","296-14909-1-ND","SN74LVC1G3157","TI","","SN74LVC1G3157DCKR","","","",
"1","TLV3691DPF","TLV3691DPF","DPF0006A","U10","TLV3691 - Nanopower Analog Comparator","296-37242-6-ND","","TI","","TLV3691IDPFR","","","",
"1","TPL5010DDC","TPL5010DDC","DDC_R-PDSO-G6","U3","TPL5010 - Nano-Power System Timer with Watchdog Functionality","296-38829-1-ND","","TI","","TPL5010DDCT","","","",
"1","TPS2104","TPS2104","SOT23-5","U9","TPS210x - Power Distribution Switch (OR'ing switch)","296-TPS2104DBVTCT-ND","TPS2104","TI","","TPS2104DBVT","","","",
"1","TPS22916YFP","TPS22916YFP","YFP0004","U8","TPS22916 - Ultra Low Leakage Load Switch","296-47464-1-ND","","TI","","TPS22916CYFPT","","","",
"1","TPS79733","TPS79733","DCK_R-PDSO-G5","U6","TPS797* - Ultra Low Power Low Dropout Linear Regulator","296-11990-1-ND","TPS79733","TI","","TPS79733DCKR","","","",
"1","TPS7A0533DBV","TPS7A0533DBV","SOT23-5","U7","TPS7A05* - Ultra Low Power Low Dropout Linear Regulator","296-50256-1-ND","","TI","595-TPS7A0533PDBVR","TPS7A0533PDBVR","","","",
"1","VDIV_MARGAYFULL-VDIV","VDIV_MARGAYFULL-VDIV","VDIV_MARGAY_2021","U$1","","DNP","","N/A","","N/A","","","",
